feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,DHA1,DHA2,DHA3,DHA4,DHA5,DHA6
LPI_18:1;0,0.337352,0.259078,0.529165,,1.17050004,0.784371018,0.287162989,0.256634,0.384081,0.366146,0.35679701,0.696002007,0.251168
LPI_18:2;0,,,,,,,,,,,,,
LPI_20:1;0,,,,,,,,,,,,,
LPI_20:2;0,,,0.105758,,,,,,,,,,
LPI_20:4;0,0.153176,0.137763,0.300003,,0.610520005,,,0.227703,0.262748,0.475576,,,
LPI_20:5;0,,,,,,,,,,,,,
LPI_22:5;0,,,,,,,,,,,,,
LPI_22:6;0,,,,,,,,,,,,0.322391987,
LPS_10:3;0,,,,,,,,,,,,,
LPS_12:0;0,,,,,,,,,,,,,
LPS_12:1;0,,,,,,,,,,,,,
LPS_12:3;0,,,,,,,,,,,,,
LPS_12:5;0,,,,,,,,,,,,,
LPS_12:6;0,,,,,,,,,0.316097,,,,
LPS_16:0;0,,,,,,,,,,,,,
LPS_16:1;0,,,0.106895,,,,,,,,,,
LPS_16:6;0,,,,,,,,,,,,,
LPS_18:0;0,0.508036,0.355969,0.280107,5.610499859,9.122739792,1.240219951,0.171844006,0.946751,0.275992,1.04837,2.004110098,2.539680004,0.6572
LPS_18:1;0,0.389577,0.435602,0.503706,,5.453499794,1.633870006,0.214736,0.343119,,0.411736,1.154209971,2.65425992,0.535933
LPS_18:2;0,,,,,,,,,,,,,
LPS_20:0;0,,,,,,,,,,,,,
LPS_20:1;0,,,,,,,,,,,,,
LPS_20:2;0,,,,,,,,,,,,,
LPS_20:3;0,,,0.092874,,1.17426002,,,,,,,,
LPS_20:4;0,,,,,,,,,,,,,
LPS_22:0;0,,,,,,,,,,,,,
LPS_22:1;0,,,,,,,,,,,,,
LPS_22:4;0,,,,,,,,,,,,,
LPS_22:5;0,,,,,,,,,,,,,
LPS_22:6;0,,,,,,,,0.190474,0.189887,0.545991,,2.3910501,0.305089
LPS_24:0;0,,,,,,,,,,,,,
LPS_24:1;0,,,,,,,,,,,,,
LPS_24:5;0,,,,,,,,,,,,,
LPS_24:6;0,,,,,,,,,,,,,
PA_12:0;0_12:0;0,,,,,,,,,,,,,
PA_12:0;0_16:0;0,,,,,,,,,,,,,
PA_14:0;0_14:0;0,,,,,,,,,,,,,
PA_14:0;0_16:0;0,,,,,1.94698,,,,,,,,
PA_14:0;0_17:0;0,,,,,,,,,,,,,
PA_14:0;0_18:0;0,,,,,,,,,,,,,
PA_14:0;0_18:1;0,,,0.19845,,0.726454973,,,,,,,,
PA_14:0;0_18:2;0,,,,,,,,,,,,,
PA_14:0;0_20:3;0,,,,,,,,,,,,,
PA_14:0;0_20:4;0,,,,,,,,,,,,,
PA_14:3;0_15:4;0,,,,,,,,,,,,,
PA_14:3;0_18:0;0,,,,,,,,,,,,,
PA_14:3;0_20:0;0,,,,,,,,,,,,,
PA_14:3;0_24:0;0,,,,,,,,,,,,,
PA_15:0;0_15:0;0,,,,,,,,,,,,,
PA_15:0;0_16:0;0,,,,,,,,,,,,,
PA_15:0;0_16:1;0,,,,,,,,,,,,,
PA_15:0;0_17:0;0,,,,,,,,,,,,,
PA_15:0;0_18:0;0,,,,,,,,,,,,,
PA_15:0;0_18:1;0,,,,,,,,,,,,,
PA_15:0;0_18:2;0,,,,,,,,,,,,,
PA_15:0;0_20:3;0,,,,,,,,,,,,,
PA_15:0;0_20:4;0,,,,,,,,,,,,,
PA_15:0;0_22:4;0,,,,,,,,,,,,,
PA_16:0;0_16:0;0,,,0.372114,,4.118340015,,0.206015006,,0.417557,0.346307,,,
PA_16:0;0_16:1;0,,,0.372532,,3.15335989,,,,,,,,
PA_16:0;0_17:0;0,,,,,,,,,,,,,
PA_16:0;0_17:1;0,,,,,,,,,,,,,
PA_16:0;0_18:0;0,,,,,,,,,,,,,
PA_16:0;0_18:1;0,,,1.3432,4.666100025,10.53600025,,0.248476997,,1.159,0.732127,3.666330099,,
PA_16:0;0_18:2;0,,,0.194764,,,,,,,,,,
PA_16:0;0_18:3;0,,,,,,,,,,,,,
PA_16:0;0_19:1;0,,,,,,,,,,,,,
PA_16:0;0_20:0;0,,,,,,,,,,,,,
PA_16:0;0_20:1;0,,,,,,,,,,,,,
PA_16:0;0_20:2;0,,,0.509057,,,,,,,,,,
PA_16:0;0_20:3;0,,,,,,,,,,,,,
PA_16:0;0_20:4;0,,,,,,,,,,,,,
PA_16:0;0_20:5;0,,,,,,,,,,,,,
PA_16:0;0_22:1;0,,,,,,,,,,,,,
PA_16:0;0_22:2;0,,,,,,,,,,,,,
PA_16:0;0_22:4;0,,,,,,,,,,,,,
PA_16:0;0_22:5;0,,,,,,,,,,,,,
PA_16:0;0_22:6;0,,,,,,,,,,,,,
PA_16:0;0_24:4;0,,,,,,,,,,,,,
PA_16:1;0_16:1;0,,,,,,,,,,,,,
PA_16:1;0_17:0;0,,,,,,,,,,,,,
PA_16:1;0_18:0;0,,,0.460358,0.922001004,2.300090075,,,,,0.218575,,,
PA_16:1;0_18:1;0,,,0.246157,,1.874780059,,,,,,,,
PA_16:1;0_18:2;0,,,,,,,,,,,,,
PA_16:1;0_20:2;0,,,,,,,,,,,,,
PA_16:1;0_20:3;0,,,,,,,,,,,,,
PA_16:1;0_20:4;0,,,,,,,,,,,,,
PA_16:1;0_22:4;0,,,,,,,,,,,,,
PA_16:1;0_22:5;0,,,,,,,,,,,,,
PA_17:0;0_17:1;0,,,,,,,0.101484999,,,,,,
PA_17:0;0_18:0;0,,,,,,,,,,,,,
PA_17:0;0_18:1;0,,,1.7104,,,,,,,2.1273,,,
PA_17:0;0_18:2;0,,,,,,,,,,,,,
PA_17:0;0_18:3;0,,,,,,,,,,,,,
PA_17:0;0_20:1;0,,,,,,,,,,,,,
PA_17:0;0_20:2;0,,,,,,,,,,,,,
PA_17:0;0_20:3;0,,,,,,,,,,,,,
PA_17:0;0_20:4;0,,,,,,,,,,,,,
PA_17:0;0_22:4;0,,,,,,,,,,,,,
PA_17:0;0_22:5;0,,,,,,,,,,,,,
PA_17:1;0_17:1;0,,,,,,,,,,,,,
PA_17:1;0_18:0;0,,,,,,,,,,,,,
PA_17:1;0_18:1;0,,,,,,,,,,,,,
PA_17:1;0_18:2;0,,,,,,,,,,,,,
PA_18:0;0_18:0;0,,,,,,,,,,,,,
PA_18:0;0_18:1;0,,,1.57438,,5.706850052,,0.206527993,0.55269,0.927521,0.878497,,,
PA_18:0;0_18:2;0,,,0.171905,3.080699921,4.087709904,,,,,0.252858,,,
PA_18:0;0_18:3;0,,,,,,,,,,,,,
PA_18:0;0_20:1;0,,,,,,,,,,,,,
PA_18:0;0_20:2;0,,,0.276666,,,,,,,,,,
PA_18:0;0_20:3;0,,,0.181015,,2.053280115,,,,,0.179461,,,
PA_18:0;0_20:4;0,,,0.398096,,1.044999957,,,,,0.328099,,,
PA_18:0;0_20:5;0,,,,,,,,,,,,,
PA_18:0;0_22:4;0,,,,,,,,,,,,,
PA_18:0;0_22:5;0,,,,,,,,,,,,,
PA_18:0;0_22:6;0,,,,,,,,,1.0913,1.41992,,,
PA_18:1;0_18:1;0,,,0.666156,1.080790043,2.699790001,,,,0.571302,0.307287,,,
PA_18:1;0_18:2;0,,,0.221583,,,,,,,,,,
PA_18:1;0_18:3;0,,,,,,,,,,,,,
PA_18:1;0_19:0;0,,,,,,,,,,,,,
PA_18:1;0_19:1;0,,,,,,,,,,,,,
PA_18:1;0_20:0;0,,,,,,,,,,,,,
PA_18:1;0_20:1;0,,,,,,,,,,,,,
PA_18:1;0_20:2;0,,,0.257081,,,,,,,,,,
PA_18:1;0_20:3;0,,,0.106617,,0.611258984,,,,,0.076238,,,
PA_18:1;0_20:4;0,,,,,,,,,,,,,
PA_18:1;0_20:5;0,,,,,,,,,,,,,
PA_18:1;0_22:3;0,,,,,,,,,,,,,
PA_18:1;0_22:4;0,,,,,,,,,,,,,
PA_18:1;0_22:5;0,,,,,,,,,,,,,
PA_18:1;0_22:6;0,,,,,,,,,,,,,
PA_18:1;0_24:4;0,,,,,,,,,,,,,
PA_18:2;0_18:2;0,,,,,,,,,,,,,
PA_18:2;0_18:3;0,,,,,,,,,,,,,
PA_18:2;0_19:0;0,,,,,,,,,,,,,
PA_18:2;0_19:1;0,,,,,,,,,,,,,
PA_18:2;0_20:0;0,,,,,,,,,,,,,
PA_18:2;0_20:1;0,,,,,,,,,,,,,
